# Help Training Data
# Format: INPUT_TEXT|CATEGORY|EXPECTED_RESPONSE_TYPE

contract invoice requirements|HELP_INVOICE_REQUIREMENTS|HELP_INVOICING
contract delivery terms setup|HELP_DELIVERY_TERMS|HELP_DELIVERY
contract shipping requirements|HELP_SHIPPING_REQUIREMENTS|HELP_SHIPPING
contract acceptance criteria|HELP_ACCEPTANCE_CRITERIA|HELP_ACCEPTANCE
contract performance metrics|HELP_PERFORMANCE_METRICS|HELP_PERFORMANCE
contract KPI setup|HELP_KPI_SETUP|HELP_KPI
contract SLA configuration|HELP_SLA_CONFIG|HELP_SLA
contract reporting requirements|HELP_REPORTING_REQUIREMENTS|HELP_REPORTING
contract audit setup|HELP_AUDIT_SETUP|HELP_AUDIT
contract monitoring configuration|HELP_MONITORING_CONFIG|HELP_MONITORING
contract tracking setup|HELP_TRACKING_SETUP|HELP_TRACKING
contract milestone configuration|HELP_MILESTONE_CONFIG|HELP_MILESTONES
contract deliverable setup|HELP_DELIVERABLE_SETUP|HELP_DELIVERABLES
contract schedule configuration|HELP_SCHEDULE_CONFIG|HELP_SCHEDULE
contract timeline setup|HELP_TIMELINE_SETUP|HELP_TIMELINE
contract resource allocation|HELP_RESOURCE_ALLOCATION|HELP_RESOURCES
contract budget setup|HELP_BUDGET_SETUP|HELP_BUDGET
contract cost management|HELP_COST_MANAGEMENT|HELP_COST
contract financial controls|HELP_FINANCIAL_CONTROLS|HELP_FINANCIAL
contract approval hierarchy|HELP_APPROVAL_HIERARCHY|HELP_APPROVAL
contract escalation procedures|HELP_ESCALATION_PROCEDURES|HELP_ESCALATION
contract communication plan|HELP_COMMUNICATION_PLAN|HELP_COMMUNICATION
contract notification setup|HELP_NOTIFICATION_SETUP|HELP_NOTIFICATIONS
contract reminder configuration|HELP_REMINDER_CONFIG|HELP_REMINDERS
contract alert setup|HELP_ALERT_SETUP|HELP_ALERTS
contract dashboard configuration|HELP_DASHBOARD_CONFIG|HELP_DASHBOARD
contract reporting dashboard|HELP_REPORTING_DASHBOARD|HELP_DASHBOARD
contract analytics setup|HELP_ANALYTICS_SETUP|HELP_ANALYTICS
contract metrics configuration|HELP_METRICS_CONFIG|HELP_METRICS
contract data management|HELP_DATA_MANAGEMENT|HELP_DATA
contract database setup|HELP_DATABASE_SETUP|HELP_DATABASE
contract integration setup|HELP_INTEGRATION_SETUP|HELP_INTEGRATION
contract API configuration|HELP_API_CONFIG|HELP_API
contract system integration|HELP_SYSTEM_INTEGRATION|HELP_SYSTEM_INTEGRATION
contract workflow automation|HELP_WORKFLOW_AUTOMATION|HELP_AUTOMATION
contract business rules setup|HELP_BUSINESS_RULES|HELP_BUSINESS_RULES
contract validation rules|HELP_VALIDATION_RULES|HELP_VALIDATION
contract approval rules|HELP_APPROVAL_RULES|HELP_APPROVAL
contract routing rules|HELP_ROUTING_RULES|HELP_ROUTING
contract assignment rules|HELP_ASSIGNMENT_RULES|HELP_ASSIGNMENT
contract notification rules|HELP_NOTIFICATION_RULES|HELP_NOTIFICATIONS
contract security setup|HELP_SECURITY_SETUP|HELP_SECURITY
contract access control|HELP_ACCESS_CONTROL|HELP_ACCESS_CONTROL
contract permission setup|HELP_PERMISSION_SETUP|HELP_PERMISSIONS
contract user management|HELP_USER_MANAGEMENT|HELP_USER_MGMT
contract role management|HELP_ROLE_MANAGEMENT|HELP_ROLE_MGMT
contract group management|HELP_GROUP_MANAGEMENT|HELP_GROUP_MGMT
contract organization setup|HELP_ORGANIZATION_SETUP|HELP_ORGANIZATION
contract department setup|HELP_DEPARTMENT_SETUP|HELP_DEPARTMENT
contract team setup|HELP_TEAM_SETUP|HELP_TEAM
contract project setup|HELP_PROJECT_SETUP|HELP_PROJECT
contract program setup|HELP_PROGRAM_SETUP|HELP_PROGRAM
contract portfolio setup|HELP_PORTFOLIO_SETUP|HELP_PORTFOLIO
